,Company Name,Ticker
109,Acurx Pharmaceuticals Inc. Common Stock,ACXP
110,AeroCentury Corp. Common Stock,ACY
111,Adagene Inc. American Depositary Shares,ADAG
112,Adaptimmune Therapeutics plc American Depositary Shares,ADAP
113,Adobe Inc. Common Stock,ADBE
114,Agree Realty Corporation Common Stock,ADC
115,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,ADC^A
116,ADC Therapeutics SA Common Shares,ADCT
117,26 Capital Acquisition Corp. Class A Common Stock,ADER
118,26 Capital Acquisition Corp. Unit,ADERU
119,26 Capital Acquisition Corp. Warrant,ADERW
120,Advanced Emissions Solutions Inc. Common Stock,ADES
121,Adit EdTech Acquisition Corp. Common Stock,ADEX
122,Aldel Financial Inc. Class A Common Stock,ADF
123,Adagio Therapeutics Inc. Common Stock,ADGI
124,Analog Devices Inc. Common Stock,ADI
125,Adial Pharmaceuticals Inc Common Stock,ADIL
126,Adial Pharmaceuticals Inc Warrant,ADILW
127,Archer-Daniels-Midland Company Common Stock,ADM
128,ADMA Biologics Inc Common Stock,ADMA
129,Adamis Pharmaceuticals Corporation Common Stock,ADMP
130,Adamas Pharmaceuticals Inc. Common Stock,ADMS
131,Advent Technologies Holdings Inc. Class A Common Stock,ADN
132,Adient plc Ordinary Shares ,ADNT
133,Advent Technologies Holdings Inc. Warrant,ADNWW
134,Edoc Acquisition Corp. Class A Ordinary Share,ADOC
135,Edoc Acquisition Corp. Right,ADOCR
136,Edoc Acquisition Corp. Warrant,ADOCW
137,Automatic Data Processing Inc. Common Stock,ADP
138,Adaptive Biotechnologies Corporation Common Stock,ADPT
139,Adara Acquisition Corp. Class A Common Stock,ADRA
140,Alliance Data Systems Corporation Common Stock,ADS
141,Autodesk Inc. Common Stock,ADSK
142,ADT Inc. Common Stock,ADT
143,ADTRAN Inc. Common Stock,ADTN
144,Aditxt Inc. Common Stock,ADTX
145,Addus HomeCare Corporation Common Stock,ADUS
146,Advantage Solutions Inc. Class A Common Stock,ADV
147,Adverum Biotechnologies Inc. Common Stock,ADVM
148,Advantage Solutions Inc. Warrant,ADVWW
149,Adams Diversified Equity Fund Inc.,ADX
150,Addex Therapeutics Ltd American Depositary Shares,ADXN
151,Advaxis Inc. Common Stock,ADXS
152,Adams Resources & Energy Inc. Common Stock,AE
153,Authentic Equity Acquisition Corp. Class A ordinary share,AEAC
154,Authentic Equity Acquisition Corp. Unit,AEACU
155,Authentic Equity Acquisition Corp. Warrant,AEACW
156,Ameren Corporation Common Stock,AEE
157,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,AEF
158,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC
159,AEGON N.V. Common Stock,AEG
160,Aesther Healthcare Acquisition Corp Units,AEHAU
161,Antelope Enterprise Holdings Limited Common Stock (0.024 par),AEHL
162,Aehr Test Systems Common Stock,AEHR
163,Alset EHome International Inc. Common Stock,AEI
164,Advanced Energy Industries Inc. Common Stock,AEIS
165,American Equity Investment Life Holding Company Common Stock,AEL
166,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,AEL^A
167,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,AEL^B
168,Agnico Eagle Mines Limited Common Stock,AEM
169,Aethlon Medical Inc. Common Stock,AEMD
170,Aenza S.A.A. American Depositary Shares,AENZ
171,American Eagle Outfitters Inc. Common Stock,AEO
172,American Electric Power Company Inc. Common Stock,AEP
173,American Electric Power Company Inc. Corporate Unit,AEPPL
174,American Electric Power Company Inc. Corporate Units,AEPPZ
175,AerCap Holdings N.V. Ordinary Shares,AER
176,Aerie Pharmaceuticals Inc. Common Stock,AERI
177,The AES Corporation Common Stock,AES
178,The AES Corporation Corporate Units,AESC
179,Allied Esports Entertainment Inc. Common Stock,AESE
180,Aeva Technologies Inc. Common Stock,AEVA
181,ADDvantage Technologies Group Inc. Common Stock,AEY
