,Company Name,Ticker
1797,Creative Realities Inc. Common Stock,CREX
1798,Creative Realities Inc. Warrant,CREXW
1799,Cornerstone Total Return Fund Inc. (The) Common Stock,CRF
1800,CRH PLC American Depositary Shares,CRH
1801,Cohn Robbins Holdings Corp. Class A Ordinary Shares,CRHC
1802,Carter's Inc. Common Stock,CRI
1803,Curis Inc. Common Stock,CRIS
1804,Comstock Resources Inc. Common Stock,CRK
1805,Crown Electrokinetics Corp. Common Stock,CRKN
1806,Charles River Laboratories International Inc. Common Stock,CRL
1807,Salesforce.com Inc Common Stock,CRM
1808,CorMedix Inc. Common Stock,CRMD
1809,America's Car-Mart Inc Common Stock,CRMT
1810,Cerence Inc. Common Stock,CRNC
1811,Ceragon Networks Ltd. Ordinary Shares,CRNT
1812,Crinetics Pharmaceuticals Inc. Common Stock,CRNX
1813,Cronos Group Inc. Common Share,CRON
1814,Crocs Inc. Common Stock,CROX
1815,Carpenter Technology Corporation Common Stock,CRS
1816,CRISPR Therapeutics AG Common Shares,CRSP
1817,Corsair Gaming Inc. Common Stock,CRSR
1818,Cross Timbers Royalty Trust Common Stock,CRT
1819,Creatd Inc. Common Stock,CRTD
1820,Creatd Inc. Warrant,CRTDW
1821,Criteo S.A. American Depositary Shares,CRTO
1822,Cortexyme Inc. Common Stock,CRTX
1823,Crucible Acquisition Corporation Class A Common Stock,CRU
1824,Cirrus Logic Inc. Common Stock,CRUS
1825,CorVel Corp. Common Stock,CRVL
1826,Corvus Pharmaceuticals Inc. Common Stock,CRVS
1827,CrowdStrike Holdings Inc. Class A Common Stock,CRWD
1828,Crown Crafts Inc Common Stock,CRWS
1829,Clarus Therapeutics Holdings Inc. Common Stock,CRXT
1830,Clarus Therapeutics Holdings Inc. Warrants,CRXTW
1831,CryoLife Inc. Common Stock,CRY
1832,Corazon Capital V838 Monoceros Corp Class A Ordinary Shares,CRZN
1833,Corazon Capital V838 Monoceros Corp Unit,CRZNU
1834,Corazon Capital V838 Monoceros Corp Warrant,CRZNW
1835,Credit Suisse Group American Depositary Shares,CS
1836,Cosan S.A. ADS,CSAN
1837,Champions Oncology Inc. Common Stock,CSBR
1838,Cisco Systems Inc. Common Stock (DE),CSCO
1839,Color Star Technology Co. Ltd. Ordinary Shares,CSCW
1840,CoStar Group Inc. Common Stock,CSGP
1841,CSG Systems International Inc. Common Stock,CSGS
1842,Cardiovascular Systems Inc. Common Stock,CSII
1843,Canadian Solar Inc. Common Shares (BC),CSIQ
1844,Carlisle Companies Incorporated Common Stock,CSL
1845,Castlight Health Inc. Class B Common Stock,CSLT
1846,CSP Inc. Common Stock,CSPI
1847,Casper Sleep Inc. Common Stock,CSPR
1848,Calamos Strategic Total Return Common Stock,CSQ
1849,D/B/A Centerspace Common Stock,CSR
1850,D/B/A Centerspace 6.625% Series C ,CSR^C
1851,Chicken Soup for the Soul Entertainment Inc. Class A Common Stock,CSSE
1852,Chicken Soup for the Soul Entertainment Inc. 9.50% Notes due 2025,CSSEN
1853,Chicken Soup for the Soul Entertainment Inc. 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock,CSSEP
1854,Constellation Acquisition Corp I Class A Ordinary Shares,CSTA
1855,Caesarstone Ltd. Ordinary Shares,CSTE
1856,Castle Biosciences Inc. Common Stock,CSTL
1857,Constellium SE Ordinary Shares (France),CSTM
1858,CapStar Financial Holdings Inc. Common Stock,CSTR
1859,Capital Senior Living Corporation Common Stock,CSU
1860,Carriage Services Inc. Common Stock,CSV
1861,Capital Southwest Corporation Common Stock,CSWC
1862,CSW Industrials Inc. Common Stock,CSWI
1863,CSX Corporation Common Stock,CSX
1864,E.I. du Pont de Nemours and Company Preferred Stock,CTA^A
1865,E.I. du Pont de Nemours and Company Preferred Stock,CTA^B
1866,Carney Technology Acquisition Corp. II Class A Common Stock,CTAQ
1867,Carney Technology Acquisition Corp. II Units,CTAQU
1868,Carney Technology Acquisition Corp. II Warrant,CTAQW
1869,Cintas Corporation Common Stock,CTAS
1870,Qwest Corporation 6.5% Notes due 2056,CTBB
1871,Community Trust Bancorp Inc. Common Stock,CTBI
1872,Qwest Corporation 6.75% Notes due 2057,CTDD
1873,CynergisTek Inc. Common Stock,CTEK
1874,Computer Task Group Inc. Common Stock,CTG
1875,Charles & Colvard Ltd Common Stock,CTHR
1876,Yunhong CTI Ltd. Common Stock,CTIB
1877,CTI BioPharma Corp. (DE) Common Stock,CTIC
1878,CooTek (Cayman) Inc. American Depositary Shares each representing 50 Class A Ordinary Shares,CTK
1879,Cytek Biosciences Inc. Common Stock,CTKB
1880,Cantaloupe Inc. Common Stock,CTLP
1881,Catalent Inc. Common Stock,CTLT
1882,CytomX Therapeutics Inc. Common Stock,CTMX
1883,CTO Realty Growth Inc. Common Stock,CTO
1884,CTO Realty Growth Inc. 6.375% Series A Cumulative Redeemable Preferred Stock,CTO^A
1885,Custom Truck One Source Inc. Common Stock,CTOS
1886,ClearBridge MLP and Midstream Total Return Fund Inc. Common Stock,CTR
1887,Coterra Energy Inc. Common Stock,CTRA
1888,CareTrust REIT Inc. Common Stock,CTRE
1889,Castor Maritime Inc. Common Shares,CTRM
1890,Citi Trends Inc. Common Stock,CTRN
1891,CTS Corporation Common Stock,CTS
1892,Cognizant Technology Solutions Corporation Class A Common Stock,CTSH
1893,Cytosorbents Corporation Common Stock,CTSO
1894,CatchMark Timber Trust Inc. Class A Common Stock,CTT
1895,Corteva Inc. Common Stock ,CTVA
1896,Citius Pharmaceuticals Inc. Common Stock,CTXR
1897,Citius Pharmaceuticals Inc. Warrant,CTXRW
1898,Citrix Systems Inc. Common Stock,CTXS
1899,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock,CUBA
1900,Customers Bancorp Inc 5.375% Subordinated Notes Due 2034,CUBB
1901,CubeSmart Common Shares,CUBE
1902,Customers Bancorp Inc Common Stock,CUBI
1903,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series E,CUBI^E
1904,Customers Bancorp Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,CUBI^F
1905,Cue Biopharma Inc. Common Stock,CUE
1906,Cuentas Inc. Common Stock,CUEN
1907,Cuentas Inc. Warrant,CUENW
1908,Carnival Plc ADS ADS,CUK
1909,Cullman Bancorp Inc. Common Stock,CULL
1910,Culp Inc. Common Stock,CULP
1911,CuriosityStream Inc. Class A Common Stock,CURI
1912,CuriosityStream Inc. Warrant,CURIW
1913,CURO Group Holdings Corp. Common Stock,CURO
1914,Torrid Holdings Inc. Common Stock,CURV
1915,Cutera Inc. Common Stock,CUTR
1916,Cousins Properties Incorporated Common Stock,CUZ
1917,Covanta Holding Corporation Common Stock,CVA
1918,CureVac N.V. Ordinary Shares,CVAC
1919,CVB Financial Corporation Common Stock,CVBF
1920,Cavco Industries Inc. Common Stock When Issued,CVCO
1921,Central Valley Community Bancorp Common Stock,CVCY
1922,Cenovus Energy Inc Common Stock,CVE
1923,Civeo Corporation (Canada) Common Shares,CVEO
1924,Covetrus Inc. Common Stock,CVET
1925,Commercial Vehicle Group Inc. Common Stock,CVGI
1926,Calavo Growers Inc. Common Stock,CVGW
1927,CVR Energy Inc. Common Stock,CVI
1928,Churchill Capital Corp VII Class A Common Stock,CVII
1929,Covenant Logistics Group Inc. Class A Common Stock,CVLG
1930,Commvault Systems Inc. Common Stock,CVLT
1931,Codorus Valley Bancorp Inc Common Stock,CVLY
1932,Cel-Sci Corporation Common Stock,CVM
1933,Carvana Co. Class A Common Stock,CVNA
1934,Chicago Rivet & Machine Co. Common Stock,CVR
1935,CVRx Inc. Common Stock,CVRX
1936,CVS Health Corporation Common Stock,CVS
1937,CPI Aerostructures Inc. Common Stock,CVU
1938,CVD Equipment Corporation Common Stock,CVV
1939,Chevron Corporation Common Stock,CVX
1940,Curtiss-Wright Corporation Common Stock,CW
1941,Clearwater Analytics Holdings Inc. Class A Common Stock,CWAN
1942,Community West Bancshares Common Stock,CWBC
1943,CohBar Inc. Common Stock,CWBR
1944,Consolidated Water Co. Ltd. Ordinary Shares,CWCO
1945,Clearway Energy Inc. Class C Common Stock,CWEN
1946,Camping World Holdings Inc. Class A Commom Stock,CWH
1947,Cushman & Wakefield plc Ordinary Shares,CWK
1948,Casella Waste Systems Inc. Class A Common Stock,CWST
1949,California Water Service Group Common Stock,CWT
1950,Cemex S.A.B. de C.V. Sponsored ADR,CX
1951,China XD Plastics Company Limited Common Stock,CXDC
1952,Crexendo Inc. Common Stock,CXDO
1953,MFS High Income Municipal Trust Common Stock,CXE
1954,MFS Investment Grade Municipal Trust Common Stock,CXH
1955,Sprinklr Inc. Class A Common Stock,CXM
1956,Columbia Property Trust Inc. Common Stock,CXP
1957,CoreCivic Inc. Common Stock,CXW
1958,Celyad Oncology SA American Depositary Shares,CYAD
1959,Cyanotech Corporation Common Stock,CYAN
1960,CyberOptics Corporation Common Stock,CYBE
1961,Cybin Inc. Common Shares,CYBN
1962,CyberArk Software Ltd. Ordinary Shares,CYBR
1963,Cyclacel Pharmaceuticals Inc. Common Stock,CYCC
1964,Cyclacel Pharmaceuticals Inc. 6% Convertible Preferred Stock,CYCCP
1965,Cyclerion Therapeutics Inc. Common Stock,CYCN
1966,China Yuchai International Limited Common Stock,CYD
1967,Community Health Systems Inc. Common Stock,CYH
1968,Cyngn Inc. Common Stock,CYN
1969,CYREN Ltd. Ordinary Shares,CYRN
1970,CryoPort Inc. Common Stock,CYRX
1971,Cyteir Therapeutics Inc. Common Stock,CYT
1972,Cyclo Therapeutics Inc. Common Stock,CYTH
1973,Cyclo Therapeutics Inc. Warrant,CYTHW
1974,Cytokinetics Incorporated Common Stock,CYTK
1975,Altamira Therapeutics Ltd. Common Shares 0.01 SF (Bermuda),CYTO
1976,Cyxtera Technologies Inc. Class A Common Stock,CYXT
1977,Cyxtera Technologies Inc. Warrant,CYXTW
1978,Citizens & Northern Corp Common Stock,CZNC
1979,Cazoo Group Ltd Class A Ordinary Shares,CZOO
1980,Caesars Entertainment Inc. Common Stock,CZR
1981,Citizens Community Bancorp Inc. Common Stock,CZWI
1982,Dominion Energy Inc. Common Stock,D
1983,Danaos Corporation Common Stock,DAC
1984,Dada Nexus Limited American Depositary Shares,DADA
1985,Data I/O Corporation Common Stock,DAIO
1986,Daktronics Inc. Common Stock,DAKT
1987,Delta Air Lines Inc. Common Stock,DAL
1988,DallasNews Corporation Series A Common Stock,DALN
1989,DA32 Life Science Tech Acquisition Corp. Class A Common Stock,DALS
1990,Dana Incorporated Common Stock ,DAN
1991,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,DAO
1992,Darling Ingredients Inc. Common Stock,DAR
1993,Dare Bioscience Inc. Common Stock,DARE
1994,DoorDash Inc. Class A Common Stock,DASH
1995,DatChat Inc. Common Stock,DATS
1996,DatChat Inc. Series A Warrant,DATSW
1997,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),DAVA
1998,Day One Biopharmaceuticals Inc. Common Stock,DAWN
1999,Deutsche Bank AG Common Stock,DB
2000,Diebold Nixdorf Incorporated Common Stock,DBD
2001,Roman DBDR Tech Acquisition Corp. Class A Common Stock,DBDR
2002,Roman DBDR Tech Acquisition Corp. Unit,DBDRU
2003,Roman DBDR Tech Acquisition Corp. Warrant,DBDRW
2004,Digital Brands Group Inc. Common Stock,DBGI
2005,Digital Brands Group Inc. Warrant,DBGIW
2006,Designer Brands Inc. Class A Common Stock,DBI
2007,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,DBL
2008,DigitalBridge Group Inc.,DBRG
2009,DigitalBridge Group Inc. 7.125% Series H ,DBRG^H
2010,DigitalBridge Group Inc. 7.15% Series I ,DBRG^I
2011,DigitalBridge Group Inc. 7.125% Series J ,DBRG^J
2012,Decibel Therapeutics Inc. Common Stock,DBTX
2013,DBV Technologies S.A. American Depositary Shares,DBVT
2014,Dropbox Inc. Class A Common Stock,DBX
2015,Docebo Inc. Common Shares,DCBO
2016,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund Inc. Common Stock,DCF
2017,Donaldson Company Inc. Common Stock,DCI
2018,Ducommun Incorporated Common Stock,DCO
2019,Dime Community Bancshares Inc. Common Stock,DCOM
2020,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A,DCOMP
2021,DCP Midstream  LP Common Units ,DCP
2022,DCP Midstream LP 7.875% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,DCP^B
2023,DCP Midstream LP 7.95% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,DCP^C
2024,Deciphera Pharmaceuticals Inc. Common Stock,DCPH
2025,Decarbonization Plus Acquisition Corporation III Class A Common Stock,DCRC
2026,Decarbonization Plus Acquisition Corporation III Unit,DCRCU
2027,Decarbonization Plus Acquisition Corporation III Warrant,DCRCW
2028,Decarbonization Plus Acquisition Corporation IV Class A Ordinary Share,DCRD
2029,Decarbonization Plus Acquisition Corporation IV Unit,DCRDU
2030,Decarbonization Plus Acquisition Corporation IV Warrant,DCRDW
2031,Decarbonization Plus Acquisition Corporation II Class A Common stock,DCRN
2032,Decarbonization Plus Acquisition Corporation II Unit,DCRNU
2033,Decarbonization Plus Acquisition Corporation II Warrant,DCRNW
2034,Duck Creek Technologies Inc. Common Stock,DCT
2035,Delcath Systems Inc. Common Stock,DCTH
2036,Dominion Energy Inc. 2019 Series A Corporate Units,DCUE
2037,DuPont de Nemours Inc. Common Stock,DD
2038,3D Systems Corporation Common Stock,DDD
2039,Delaware Investments Dividend & Income Fund Inc. Common Stock,DDF
2040,DoubleDown Interactive Co. Ltd. American Depository Shares,DDI
2041,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),DDL
2042,DD3 Acquisition Corp. II Class A Common Stock,DDMX
2043,DD3 Acquisition Corp. II Unit,DDMXU
2044,DD3 Acquisition Corp. II Warrant,DDMXW
2045,Datadog Inc. Class A Common Stock,DDOG
2046,Dillard's Inc. Common Stock,DDS
2047,Dillard's Capital Trust I,DDT
2048,Deere & Company Common Stock,DE
2049,Easterly Government Properties Inc. Common Stock,DEA
2050,Deckers Outdoor Corporation Common Stock,DECK
2051,Douglas Emmett Inc. Common Stock,DEI
2052,Dell Technologies Inc. Class C Common Stock ,DELL
2053,Denbury Inc. Common Stock,DEN
2054,Denny's Corporation Common Stock,DENN
2055,Diageo plc Common Stock,DEO
2056,Despegar.com Corp. Ordinary Shares,DESP
2057,Delaware Enhanced Global Dividend Common Shares of Beneficial Interest,DEX
2058,Diffusion Pharmaceuticals Inc. Common Stock,DFFN
2059,Dream Finders Homes Inc. Class A Common Stock,DFH
2060,Donnelley Financial Solutions Inc. Common Stock ,DFIN
2061,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,DFP
2062,DFP Healthcare Acquisitions Corp. Class A Common Stock,DFPH
2063,DFP Healthcare Acquisitions Corp. Warrant,DFPHW
2064,Discover Financial Services Common Stock,DFS
2065,Dollar General Corporation Common Stock,DG
2066,Donegal Group Inc. Class A Common Stock,DGICA
2067,Donegal Group Inc. Class B Common Stock,DGICB
2068,Digi International Inc. Common Stock,DGII
2069,Digital Ally Inc. Common Stock,DGLY
2070,Dragoneer Growth Opportunities Corp. II Class A Ordinary Shares,DGNS
2071,Dragoneer Growth Opportunities Corp. III Class A Ordinary Shares,DGNU
2072,Quest Diagnostics Incorporated Common Stock,DGX
2073,Definitive Healthcare Corp. Class A Common Stock,DH
2074,DHB Capital Corp. Class A common stock,DHBC
2075,DHB Capital Corp. Unit,DHBCU
2076,DHB Capital Corp. Warrant,DHBCW
2077,Diversified Healthcare Trust Common Shares of Beneficial Interest,DHC
2078,DHC Acquisition Corp. Class A ordinary share,DHCA
2079,DHC Acquisition Corp. Unit,DHCAU
2080,DHC Acquisition Corp. Warrant,DHCAW
2081,Diversified Healthcare Trust 5.625% Senior Notes due 2042,DHCNI
2082,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,DHCNL
2083,BNY Mellon High Yield Strategies Fund Common Stock,DHF
2084,DiamondHead Holdings Corp. Class A Common Stock,DHHC
2085,DiamondHead Holdings Corp. Unit,DHHCU
2086,DiamondHead Holdings Corp. Warrant,DHHCW
2087,D.R. Horton Inc. Common Stock,DHI
2088,Diamond Hill Investment Group Inc. Class A Common Stock,DHIL
2089,Danaher Corporation Common Stock,DHR
2090,Danaher Corporation 4.75% Mandatory Convertible Preferred Stock Series A,DHR^A
2091,Danaher Corporation 5.00% Mandatory Convertible Preferred Stock Series B,DHR^B
2092,DHT Holdings Inc.,DHT
2093,DHI Group Inc. Common Stock,DHX
2094,Credit Suisse High Yield Bond Fund Common Stock,DHY
2095,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,DIAX
2096,1stdibs.com Inc. Common Stock,DIBS
2097,DICE Therapeutics Inc. Common Stock,DICE
2098,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share),DIDI
2099,DILA Capital Acquisition Corp. Class A Common Stock,DILA
2100,DILA Capital Acquisition Corp. Unit,DILAU
2101,DILA Capital Acquisition Corp. Warrant,DILAW
2102,Dine Brands Global Inc. Common Stock,DIN
2103,Diodes Incorporated Common Stock,DIOD
2104,Walt Disney Company (The) Common Stock,DIS
2105,Disruptive Acquisition Corporation I Class A Ordinary Shares,DISA
2106,Disruptive Acquisition Corporation I Unit,DISAU
2107,Disruptive Acquisition Corporation I Warrant,DISAW
2108,Discovery Inc. Series A Common Stock,DISCA
2109,Discovery Inc. Series B Common Stock,DISCB
2110,Discovery Inc. Series C Common Stock,DISCK
2111,DISH Network Corporation Class A Common Stock,DISH
2112,AMCON Distributing Company Common Stock,DIT
2113,Daily Journal Corp. (S.C.) Common Stock,DJCO
2114,Delek US Holdings Inc. Common Stock,DK
2115,Data Knights Acquisition Corp. Class A Common Stock,DKDCA
2116,Data Knights Acquisition Corp. Warrant,DKDCW
2117,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,DKL
2118,DraftKings Inc. Class A Common Stock,DKNG
2119,Dick's Sporting Goods Inc Common Stock,DKS
2120,Delta Apparel Inc. Common Stock,DLA
2121,Dolby Laboratories Common Stock,DLB
2122,Deep Lake Capital Acquisition Corp. Class A Ordinary Shares,DLCA
2123,Deep Lake Capital Acquisition Corp. Unit,DLCAU
2124,Deep Lake Capital Acquisition Corp. Warrant,DLCAW
2125,DLH Holdings Corp.,DLHC
2126,Dynagas LNG Partners LP Common Units,DLNG
2127,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,DLNG^A
2128,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,DLNG^B
2129,DLocal Limited Class A Common Shares,DLO
2130,Dolphin Entertainment Inc. Common Stock,DLPN
2131,Digital Realty Trust Inc. Common Stock,DLR
2132,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,DLR^J
2133,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share,DLR^K
2134,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock,DLR^L
2135,Duluth Holdings Inc. Class B Common Stock,DLTH
2136,Dollar Tree Inc. Common Stock,DLTR
2137,Deluxe Corporation Common Stock,DLX
2138,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,DLY
2139,Desktop Metal Inc. Class A Common Stock,DM
2140,DiaMedica Therapeutics Inc. Common Stock,DMAC
2141,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock,DMB
2142,BNY Mellon Municipal Income Inc. Common Stock,DMF
2143,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,DMLP
2144,Western Asset Mortgage Opportunity Fund Inc. Common Stock,DMO
2145,Digimarc Corporation Common Stock,DMRC
2146,Digital Media Solutions Inc. Class A Ordinary Shares,DMS
2147,DermTech Inc. Common Stock,DMTK
2148,dMY Technology Group Inc. IV Class A Common Stock,DMYQ
2149,Ginkgo Bioworks Holdings Inc. Class A Common Stock,DNA
2150,Social Capital Suvretta Holdings Corp. I Class A Ordinary Share,DNAA
2151,Social Capital Suvretta Holdings Corp. II Class A Ordinary Shares,DNAB
2152,Social Capital Suvretta Holdings Corp. III Class A ordinary shares,DNAC
2153,Social Capital Suvretta Holdings Corp. IV Class A Ordinary Shares,DNAD
2154,Codex DNA Inc. Common Stock,DNAY
2155,Dun & Bradstreet Holdings Inc. Common Stock,DNB
2156,Denali Therapeutics Inc. Common Stock,DNLI
2157,Danimer Scientific Inc. Common Stock,DNMR
2158,Denison Mines Corp Ordinary Shares (Canada),DNN
2159,NOW Inc. Common Stock,DNOW
2160,DNP Select Income Fund Inc. Common Stock,DNP
2161,Krispy Kreme Inc. Common Stock,DNUT
2162,D and Z Media Acquisition Corp. Class A Common Stock,DNZ
2163,Physicians Realty Trust Common Shares of Beneficial Interest,DOC
2164,DigitalOcean Holdings Inc. Common Stock,DOCN
2165,Doximity Inc. Class A Common Stock,DOCS
2166,DocuSign Inc. Common Stock,DOCU
2167,Dogness (International) Corporation Class A Common Stock,DOGZ
2168,Dole plc Ordinary Shares,DOLE
2169,Doma Holdings Inc. Common Stock,DOMA
2170,Domo Inc. Class B Common Stock,DOMO
2171,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,DOOO
2172,Masonite International Corporation Ordinary Shares (Canada),DOOR
2173,Dorman Products Inc. Common Stock,DORM
2174,Dover Corporation Common Stock,DOV
2175,Dow Inc. Common Stock ,DOW
2176,Amdocs Limited Ordinary Shares,DOX
2177,DouYu International Holdings Limited ADS,DOYU
2178,Duff & Phelps Utility and Infrastructure Fund Inc.,DPG
2179,Draganfly Inc. Common Shares,DPRO
2180,Ault Global Holdings Inc. Common Stock,DPW
2181,Domino's Pizza Inc Common Stock,DPZ
2182,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,DQ
2183,Macondray Capital Acquisition Corp. I Class A Ordinary Shares,DRAY
2184,Macondray Capital Acquisition Corp. I Unit,DRAYU
2185,Macondray Capital Acquisition Corp. I Warrant,DRAYW
2186,DRDGOLD Limited American Depositary Shares,DRD
2187,Duke Realty Corporation Common Stock,DRE
2188,Diamondrock Hospitality Company Common Stock,DRH
2189,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,DRH^A
2190,Darden Restaurants Inc. Common Stock,DRI
2191,DarioHealth Corp. Common Stock,DRIO
2192,Dermata Therapeutics Inc. Common Stock,DRMA
2193,Dermata Therapeutics Inc. Warrant,DRMAW
2194,Dicerna Pharmaceuticals Inc. Common Stock,DRNA
2195,Dril-Quip Inc. Common Stock,DRQ
2196,DURECT Corporation Common Stock,DRRX
2197,DIRTT Environmental Solutions Ltd. Common Shares,DRTT
2198,Driven Brands Holdings Inc. Common Stock,DRVN
2199,Drive Shack Inc.,DS
2200,Drive Shack Inc. Preferred Series B,DS^B
2201,Drive Shack Inc. Preferred Series C,DS^C
2202,Drive Shack Inc. Pfd Ser D,DS^D
2203,Duddell Street Acquisition Corp. Class A Ordinary Shares,DSAC
2204,Duddell Street Acquisition Corp. Unit,DSACU
2205,Duddell Street Acquisition Corp. Warrant,DSACW
2206,Diversey Holdings Ltd. Ordinary Shares,DSEY
2207,Design Therapeutics Inc. Common Stock,DSGN
2208,Descartes Systems Group Inc. (The) Common Stock,DSGX
2209,Daseke Inc. Common Stock,DSKE
2210,Daseke Inc. Warrant,DSKEW
2211,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,DSL
2212,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,DSM
2213,Viant Technology Inc. Class A Common Stock,DSP
2214,DSP Group Inc. Common Stock,DSPG
2215,DSS Inc. Common Stock,DSS
2216,Blackrock Debt Strategies Fund Inc. Common Stock,DSU
2217,Deswell Industries Inc. Common Shares,DSWL
2218,Diana Shipping inc. common stock,DSX
2219,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),DSX^B
2220,Dynatrace Inc. Common Stock,DT
2221,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,DTB
2222,DTE Energy Company Common Stock,DTE
2223,DAVIDsTEA Inc. Common Stock,DTEA
2224,DTF Tax-Free Income Inc. Common Stock,DTF
2225,Precision BioSciences Inc. Common Stock,DTIL
2226,Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock,DTLA^
2227,DT Midstream Inc. Common Stock ,DTM
2228,Digital Transformation Opportunities Corp. Class A Common Stock,DTOC
2229,Digital Transformation Opportunities Corp. Units,DTOCU
2230,Digital Transformation Opportunities Corp. Warrant,DTOCW
2231,DTE Energy Company 6.25% Corporate Units,DTP
2232,DTRT Health Acquisition Corp. Unit,DTRTU
2233,DTRT Health Acquisition Corp. Warrant,DTRTW
2234,Datasea Inc. Common Stock,DTSS
2235,Data Storage Corporation Common Stock,DTST
2236,Data Storage Corporation Warrant,DTSTW
2237,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,DTW
2238,DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076,DTY
2239,Duke Energy Corporation (Holding Company) Common Stock,DUK
2240,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,DUK^A
2241,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,DUKB
2242,Dune Acquisition Corporation Class A Common Stock,DUNE
2243,Dune Acquisition Corporation Unit,DUNEU
2244,Dune Acquisition Corporation Warrant,DUNEW
2245,Fangdd Network Group Ltd. American Depositary Shares,DUO
2246,Duolingo Inc. Class A Common Stock,DUOL
2247,Duos Technologies Group Inc. Common Stock,DUOT
2248,DoubleVerify Holdings Inc. Common Stock,DV
2249,DaVita Inc. Common Stock,DVA
2250,Dynavax Technologies Corporation Common Stock,DVAX
2251,Dover Motorsports Inc. Common Stock,DVD
2252,Devon Energy Corporation Common Stock,DVN
2253,Digital World Acquisition Corp. Class A Common Stock,DWAC
2254,Digital World Acquisition Corp. Units,DWACU
2255,Digital World Acquisition Corp. Warrants,DWACW
2256,Delwinds Insurance Acquisition Corp. Class A Common Stock,DWIN
2257,Dawson Geophysical Company Common Stock,DWSN
2258,Dynex Capital Inc. Common Stock,DX
2259,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,DX^C
2260,DXC Technology Company Common Stock ,DXC
2261,DexCom Inc. Common Stock,DXCM
2262,Dunxin Financial Holdings Limited American Depositary Shares,DXF
2263,Destination XL Group Inc. Common Stock,DXLG
2264,DXP Enterprises Inc. Common Stock,DXPE
2265,Daxor Corporation Common Stock,DXR
2266,Dixie Group Inc. (The) Common Stock,DXYN
2267,Dycom Industries Inc. Common Stock,DY
2268,Dyadic International Inc. Common Stock,DYAI
2269,Angel Oak Dynamic Financial Strategies Income Term Trust Common Shares of Beneficial Interest,DYFN
2270,Dyne Therapeutics Inc. Common Stock,DYN
2271,Dynamics Special Purpose Corp. Class A Common Stock,DYNS
2272,Dynatronics Corporation Common Stock,DYNT
2273,DZS Inc. Common Stock,DZSI
2274,ENI S.p.A. Common Stock,E
2275,Electronic Arts Inc. Common Stock,EA
2276,Edify Acquisition Corp. Class A Common Stock,EAC
2277,Edify Acquisition Corp. Units,EACPU
2278,Wells Fargo Income Opportunities Fund Common Shares,EAD
2279,GrafTech International Ltd. Common Stock,EAF
2280,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,EAI
2281,Eargo Inc. Common Stock,EAR
2282,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,EARN
2283,Eastside Distilling Inc. Common Stock,EAST
